product_id,date,sales,price,rating,trend_index,competitor_launch
Product_1 (Category_1),2022-01-31,321.43,120.21,4.76,0.86,0
Product_1 (Category_1),2022-02-28,365.89,59.26,4.38,1.19,0
Product_1 (Category_1),2022-03-31,318.88,186.91,3.77,1.01,0
Product_1 (Category_1),2022-04-30,312.55,181.47,4.16,0.95,0
Product_1 (Category_1),2022-05-31,349.81,316.59,3.29,0.82,0
Product_1 (Category_1),2022-06-30,329.0,357.9,3.85,0.98,0
Product_1 (Category_1),2022-07-31,365.93,190.27,3.39,1.01,0
Product_1 (Category_1),2022-08-31,354.09,89.82,4.09,0.88,0
Product_1 (Category_1),2022-09-30,276.74,422.93,3.64,0.94,0
Product_1 (Category_1),2022-10-31,320.75,83.55,3.81,1.19,0
Product_1 (Category_1),2022-11-30,334.81,397.07,4.47,0.83,0
Product_1 (Category_1),2022-12-31,311.27,198.9,4.49,0.83,0
Product_1 (Category_1),2023-01-31,328.67,449.25,4.68,0.99,0
Product_1 (Category_1),2023-02-28,323.62,396.94,4.77,1.0,0
Product_1 (Category_1),2023-03-31,328.46,191.46,3.85,1.0,1
Product_1 (Category_1),2023-04-30,386.19,152.96,3.74,0.83,0
Product_1 (Category_1),2023-05-31,386.08,411.65,4.16,0.87,0
Product_1 (Category_1),2023-06-30,352.81,152.57,3.84,0.97,0
Product_1 (Category_1),2023-07-31,385.72,237.83,3.88,0.89,0
Product_1 (Category_1),2023-08-31,387.43,283.46,4.2,1.08,0
Product_1 (Category_1),2023-09-30,335.78,178.18,3.99,0.81,0
Product_1 (Category_1),2023-10-31,383.35,115.2,4.15,1.0,1
Product_1 (Category_1),2023-11-30,415.07,156.94,4.38,1.09,0
Product_1 (Category_1),2023-12-31,387.81,90.63,5.0,1.13,0
Product_2 (Category_2),2022-01-31,569.54,414.28,3.52,0.94,0
Product_2 (Category_2),2022-02-28,595.5,426.97,2.77,1.07,0
Product_2 (Category_2),2022-03-31,668.34,152.85,4.2,0.87,1
Product_2 (Category_2),2022-04-30,634.13,447.19,4.25,0.88,0
Product_2 (Category_2),2022-05-31,643.41,232.03,4.05,1.16,0
Product_2 (Category_2),2022-06-30,654.76,311.31,4.55,0.95,1
Product_2 (Category_2),2022-07-31,589.16,268.53,3.45,0.98,1
Product_2 (Category_2),2022-08-31,593.98,130.47,3.81,0.95,0
